Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RL","Land Use","88","Guam","5110","Area","6610","Agricultural land","2018","2018","1000 ha","18","Fm","Manual Estimation"
"RL","Land Use","89","Guatemala","5110","Area","6600","Country area","2018","2018","1000 ha","10889","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","89","Guatemala","5110","Area","6610","Agricultural land","2018","2018","1000 ha","3856","Fm","Manual Estimation"
"RL","Land Use","90","Guinea","5110","Area","6600","Country area","2018","2018","1000 ha","24586","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","90","Guinea","5110","Area","6610","Agricultural land","2018","2018","1000 ha","14500","Fm","Manual Estimation"
"RL","Land Use","175","Guinea-Bissau","5110","Area","6600","Country area","2018","2018","1000 ha","3613","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","175","Guinea-Bissau","5110","Area","6610","Agricultural land","2018","2018","1000 ha","815.11","Fc","Calculated data"
"RL","Land Use","91","Guyana","5110","Area","6600","Country area","2018","2018","1000 ha","21497","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","91","Guyana","5110","Area","6610","Agricultural land","2018","2018","1000 ha","1251.25","Fc","Calculated data"
"RL","Land Use","93","Haiti","5110","Area","6600","Country area","2018","2018","1000 ha","2775","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","93","Haiti","5110","Area","6610","Agricultural land","2018","2018","1000 ha","1840","Fm","Manual Estimation"
"RL","Land Use","94","Holy See","5110","Area","6600","Country area","2018","2018","1000 ha","0.044","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","95","Honduras","5110","Area","6600","Country area","2018","2018","1000 ha","11249","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","95","Honduras","5110","Area","6610","Agricultural land","2018","2018","1000 ha","3356","Fm","Manual Estimation"
"RL","Land Use","97","Hungary","5110","Area","6600","Country area","2018","2018","1000 ha","9303","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","97","Hungary","5110","Area","6610","Agricultural land","2018","2018","1000 ha","5296","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","99","Iceland","5110","Area","6600","Country area","2018","2018","1000 ha","10300","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","99","Iceland","5110","Area","6610","Agricultural land","2018","2018","1000 ha","1872","Fm","Manual Estimation"
"RL","Land Use","100","India","5110","Area","6600","Country area","2018","2018","1000 ha","328725.9","Fm","Manual Estimation"
"RL","Land Use","100","India","5110","Area","6610","Agricultural land","2018","2018","1000 ha","179674","Fm","Manual Estimation"
"RL","Land Use","101","Indonesia","5110","Area","6600","Country area","2018","2018","1000 ha","191686.22","Q","Official data reported on FAO Questionnaires from countries"
